DataID,PassagierId,Überlebt,Beförderungsklasse,Geschlecht,Alter,Anzahl der Geschwister oder Ehepartner,Anzahl der Eltern oder Kinder,Ticketpreis
0,1,0,3,male,22.0,1,0,7.25
1,2,1,1,female,38.0,1,0,71.2833
2,3,1,3,female,26.0,0,0,7.925
3,4,1,1,female,35.0,1,0,53.1
4,5,0,3,male,35.0,0,0,8.05
5,6,0,3,male,,0,0,8.4583
6,7,0,1,male,54.0,0,0,51.8625
7,8,0,3,male,2.0,3,1,21.075
8,9,1,3,female,27.0,0,2,11.1333
9,10,1,2,female,14.0,1,0,30.0708
10,11,1,3,female,4.0,1,1,16.7
11,12,1,1,female,58.0,0,0,26.55
12,13,0,3,male,20.0,0,0,8.05
13,14,0,3,male,39.0,1,5,31.275
14,15,0,3,female,14.0,0,0,7.8542
15,16,1,2,female,55.0,0,0,16.0
16,17,0,3,male,2.0,4,1,29.125
17,18,1,2,male,,0,0,13.0
18,19,0,3,female,31.0,1,0,18.0
19,20,1,3,female,,0,0,7.225
20,21,0,2,male,35.0,0,0,26.0
21,22,1,2,male,34.0,0,0,13.0
22,23,1,3,female,15.0,0,0,8.0292
23,24,1,1,male,28.0,0,0,35.5
24,25,0,3,female,8.0,3,1,21.075
25,26,1,3,female,38.0,1,5,31.3875
26,27,0,3,male,,0,0,7.225
27,28,0,1,male,19.0,3,2,263.0
28,29,1,3,female,,0,0,7.8792
29,30,0,3,male,,0,0,7.8958
30,31,0,1,male,40.0,0,0,27.7208
31,32,1,1,female,,1,0,146.5208
32,33,1,3,female,,0,0,7.75
33,34,0,2,male,66.0,0,0,10.5
34,35,0,1,male,28.0,1,0,82.1708
35,36,0,1,male,42.0,1,0,52.0
36,37,1,3,male,,0,0,7.2292
37,38,0,3,male,21.0,0,0,8.05
38,39,0,3,female,18.0,2,0,18.0
39,40,1,3,female,14.0,1,0,11.2417
40,41,0,3,female,40.0,1,0,9.475
41,42,0,2,female,27.0,1,0,21.0
42,43,0,3,male,,0,0,7.8958
43,44,1,2,female,3.0,1,2,41.5792
44,45,1,3,female,19.0,0,0,7.8792
45,46,0,3,male,,0,0,8.05
46,47,0,3,male,,1,0,15.5
47,48,1,3,female,,0,0,7.75
48,49,0,3,male,,2,0,21.6792
49,50,0,3,female,18.0,1,0,17.8
50,51,0,3,male,7.0,4,1,39.6875
51,52,0,3,male,21.0,0,0,7.8
52,53,1,1,female,49.0,1,0,76.7292
53,54,1,2,female,29.0,1,0,26.0
54,55,0,1,male,65.0,0,1,61.9792
55,56,1,1,male,,0,0,35.5
56,57,1,2,female,21.0,0,0,10.5
57,58,0,3,male,28.5,0,0,7.2292
58,59,1,2,female,5.0,1,2,27.75
59,60,0,3,male,11.0,5,2,46.9
60,61,0,3,male,22.0,0,0,7.2292
61,62,1,1,female,38.0,0,0,80.0
62,63,0,1,male,45.0,1,0,83.475
63,64,0,3,male,4.0,3,2,27.9
64,65,0,1,male,,0,0,27.7208
65,66,1,3,male,,1,1,15.2458
66,67,1,2,female,29.0,0,0,10.5
67,68,0,3,male,19.0,0,0,8.1583
68,69,1,3,female,17.0,4,2,7.925
69,70,0,3,male,26.0,2,0,8.6625
70,71,0,2,male,32.0,0,0,10.5
71,72,0,3,female,16.0,5,2,46.9
72,73,0,2,male,21.0,0,0,73.5
73,74,0,3,male,26.0,1,0,14.4542
74,75,1,3,male,32.0,0,0,56.4958
75,76,0,3,male,25.0,0,0,7.65
76,77,0,3,male,,0,0,7.8958
77,78,0,3,male,,0,0,8.05
78,79,1,2,male,0.83,0,2,29.0
79,80,1,3,female,30.0,0,0,12.475
80,81,0,3,male,22.0,0,0,9.0
81,82,1,3,male,29.0,0,0,9.5
82,83,1,3,female,,0,0,7.7875
83,84,0,1,male,28.0,0,0,47.1
84,85,1,2,female,17.0,0,0,10.5
85,86,1,3,female,33.0,3,0,15.85
86,87,0,3,male,16.0,1,3,34.375
87,88,0,3,male,,0,0,8.05
88,89,1,1,female,23.0,3,2,263.0
89,90,0,3,male,24.0,0,0,8.05
90,91,0,3,male,29.0,0,0,8.05
91,92,0,3,male,20.0,0,0,7.8542
92,93,0,1,male,46.0,1,0,61.175
93,94,0,3,male,26.0,1,2,20.575
94,95,0,3,male,59.0,0,0,7.25
95,96,0,3,male,,0,0,8.05
96,97,0,1,male,71.0,0,0,34.6542
97,98,1,1,male,23.0,0,1,63.3583
98,99,1,2,female,34.0,0,1,23.0
99,100,0,2,male,34.0,1,0,26.0
100,101,0,3,female,28.0,0,0,7.8958
101,102,0,3,male,,0,0,7.8958
102,103,0,1,male,21.0,0,1,77.2875
103,104,0,3,male,33.0,0,0,8.6542
104,105,0,3,male,37.0,2,0,7.925
105,106,0,3,male,28.0,0,0,7.8958
106,107,1,3,female,21.0,0,0,7.65
107,108,1,3,male,,0,0,7.775
108,109,0,3,male,38.0,0,0,7.8958
109,110,1,3,female,,1,0,24.15
110,111,0,1,male,47.0,0,0,52.0
111,112,0,3,female,14.5,1,0,14.4542
112,113,0,3,male,22.0,0,0,8.05
113,114,0,3,female,20.0,1,0,9.825
114,115,0,3,female,17.0,0,0,14.4583
115,116,0,3,male,21.0,0,0,7.925
116,117,0,3,male,70.5,0,0,7.75
117,118,0,2,male,29.0,1,0,21.0
118,119,0,1,male,24.0,0,1,247.5208
119,120,0,3,female,2.0,4,2,31.275
120,121,0,2,male,21.0,2,0,73.5
121,122,0,3,male,,0,0,8.05
122,123,0,2,male,32.5,1,0,30.0708
123,124,1,2,female,32.5,0,0,13.0
124,125,0,1,male,54.0,0,1,77.2875
125,126,1,3,male,12.0,1,0,11.2417
126,127,0,3,male,,0,0,7.75
127,128,1,3,male,24.0,0,0,7.1417
128,129,1,3,female,,1,1,22.3583
129,130,0,3,male,45.0,0,0,6.975
130,131,0,3,male,33.0,0,0,7.8958
131,132,0,3,male,20.0,0,0,7.05
132,133,0,3,female,47.0,1,0,14.5
133,134,1,2,female,29.0,1,0,26.0
134,135,0,2,male,25.0,0,0,13.0
135,136,0,2,male,23.0,0,0,15.0458
136,137,1,1,female,19.0,0,2,26.2833
137,138,0,1,male,37.0,1,0,53.1
138,139,0,3,male,16.0,0,0,9.2167
139,140,0,1,male,24.0,0,0,79.2
140,141,0,3,female,,0,2,15.2458
141,142,1,3,female,22.0,0,0,7.75
142,143,1,3,female,24.0,1,0,15.85
143,144,0,3,male,19.0,0,0,6.75
144,145,0,2,male,18.0,0,0,11.5
145,146,0,2,male,19.0,1,1,36.75
146,147,1,3,male,27.0,0,0,7.7958
147,148,0,3,female,9.0,2,2,34.375
148,149,0,2,male,36.5,0,2,26.0
149,150,0,2,male,42.0,0,0,13.0
150,151,0,2,male,51.0,0,0,12.525
151,152,1,1,female,22.0,1,0,66.6
152,153,0,3,male,55.5,0,0,8.05
153,154,0,3,male,40.5,0,2,14.5
154,155,0,3,male,,0,0,7.3125
155,156,0,1,male,51.0,0,1,61.3792
156,157,1,3,female,16.0,0,0,7.7333
157,158,0,3,male,30.0,0,0,8.05
158,159,0,3,male,,0,0,8.6625
159,160,0,3,male,,8,2,69.55
160,161,0,3,male,44.0,0,1,16.1
161,162,1,2,female,40.0,0,0,15.75
162,163,0,3,male,26.0,0,0,7.775
163,164,0,3,male,17.0,0,0,8.6625
164,165,0,3,male,1.0,4,1,39.6875
165,166,1,3,male,9.0,0,2,20.525
166,167,1,1,female,,0,1,55.0
167,168,0,3,female,45.0,1,4,27.9
168,169,0,1,male,,0,0,25.925
169,170,0,3,male,28.0,0,0,56.4958
170,171,0,1,male,61.0,0,0,33.5
171,172,0,3,male,4.0,4,1,29.125
172,173,1,3,female,1.0,1,1,11.1333
173,174,0,3,male,21.0,0,0,7.925
174,175,0,1,male,56.0,0,0,30.6958
175,176,0,3,male,18.0,1,1,7.8542
176,177,0,3,male,,3,1,25.4667
177,178,0,1,female,50.0,0,0,28.7125
178,179,0,2,male,30.0,0,0,13.0
179,180,0,3,male,36.0,0,0,0.0
180,181,0,3,female,,8,2,69.55
181,182,0,2,male,,0,0,15.05
182,183,0,3,male,9.0,4,2,31.3875
183,184,1,2,male,1.0,2,1,39.0
184,185,1,3,female,4.0,0,2,22.025
185,186,0,1,male,,0,0,50.0
186,187,1,3,female,,1,0,15.5
187,188,1,1,male,45.0,0,0,26.55
188,189,0,3,male,40.0,1,1,15.5
189,190,0,3,male,36.0,0,0,7.8958
190,191,1,2,female,32.0,0,0,13.0
191,192,0,2,male,19.0,0,0,13.0
192,193,1,3,female,19.0,1,0,7.8542
193,194,1,2,male,3.0,1,1,26.0
194,195,1,1,female,44.0,0,0,27.7208
195,196,1,1,female,58.0,0,0,146.5208
196,197,0,3,male,,0,0,7.75
197,198,0,3,male,42.0,0,1,8.4042
198,199,1,3,female,,0,0,7.75
199,200,0,2,female,24.0,0,0,13.0
200,201,0,3,male,28.0,0,0,9.5
201,202,0,3,male,,8,2,69.55
202,203,0,3,male,34.0,0,0,6.4958
203,204,0,3,male,45.5,0,0,7.225
204,205,1,3,male,18.0,0,0,8.05
205,206,0,3,female,2.0,0,1,10.4625
206,207,0,3,male,32.0,1,0,15.85
207,208,1,3,male,26.0,0,0,18.7875
208,209,1,3,female,16.0,0,0,7.75
209,210,1,1,male,40.0,0,0,31.0
210,211,0,3,male,24.0,0,0,7.05
211,212,1,2,female,35.0,0,0,21.0
212,213,0,3,male,22.0,0,0,7.25
213,214,0,2,male,30.0,0,0,13.0
214,215,0,3,male,,1,0,7.75
215,216,1,1,female,31.0,1,0,113.275
216,217,1,3,female,27.0,0,0,7.925
217,218,0,2,male,42.0,1,0,27.0
218,219,1,1,female,32.0,0,0,76.2917
219,220,0,2,male,30.0,0,0,10.5
220,221,1,3,male,16.0,0,0,8.05
221,222,0,2,male,27.0,0,0,13.0
222,223,0,3,male,51.0,0,0,8.05
223,224,0,3,male,,0,0,7.8958
224,225,1,1,male,38.0,1,0,90.0
225,226,0,3,male,22.0,0,0,9.35
226,227,1,2,male,19.0,0,0,10.5
227,228,0,3,male,20.5,0,0,7.25
228,229,0,2,male,18.0,0,0,13.0
229,230,0,3,female,,3,1,25.4667
230,231,1,1,female,35.0,1,0,83.475
231,232,0,3,male,29.0,0,0,7.775
232,233,0,2,male,59.0,0,0,13.5
233,234,1,3,female,5.0,4,2,31.3875
234,235,0,2,male,24.0,0,0,10.5
235,236,0,3,female,,0,0,7.55
236,237,0,2,male,44.0,1,0,26.0
237,238,1,2,female,8.0,0,2,26.25
238,239,0,2,male,19.0,0,0,10.5
239,240,0,2,male,33.0,0,0,12.275
240,241,0,3,female,,1,0,14.4542
241,242,1,3,female,,1,0,15.5
242,243,0,2,male,29.0,0,0,10.5
243,244,0,3,male,22.0,0,0,7.125
244,245,0,3,male,30.0,0,0,7.225
245,246,0,1,male,44.0,2,0,90.0
246,247,0,3,female,25.0,0,0,7.775
247,248,1,2,female,24.0,0,2,14.5
248,249,1,1,male,37.0,1,1,52.5542
249,250,0,2,male,54.0,1,0,26.0
250,251,0,3,male,,0,0,7.25
251,252,0,3,female,29.0,1,1,10.4625
252,253,0,1,male,62.0,0,0,26.55
253,254,0,3,male,30.0,1,0,16.1
254,255,0,3,female,41.0,0,2,20.2125
255,256,1,3,female,29.0,0,2,15.2458
256,257,1,1,female,,0,0,79.2
257,258,1,1,female,30.0,0,0,86.5
258,259,1,1,female,35.0,0,0,512.3292
259,260,1,2,female,50.0,0,1,26.0
260,261,0,3,male,,0,0,7.75
261,262,1,3,male,3.0,4,2,31.3875
262,263,0,1,male,52.0,1,1,79.65
263,264,0,1,male,40.0,0,0,0.0
264,265,0,3,female,,0,0,7.75
265,266,0,2,male,36.0,0,0,10.5
266,267,0,3,male,16.0,4,1,39.6875
267,268,1,3,male,25.0,1,0,7.775
268,269,1,1,female,58.0,0,1,153.4625
269,270,1,1,female,35.0,0,0,135.6333
270,271,0,1,male,,0,0,31.0
271,272,1,3,male,25.0,0,0,0.0
272,273,1,2,female,41.0,0,1,19.5
273,274,0,1,male,37.0,0,1,29.7
274,275,1,3,female,,0,0,7.75
275,276,1,1,female,63.0,1,0,77.9583
276,277,0,3,female,45.0,0,0,7.75
277,278,0,2,male,,0,0,0.0
278,279,0,3,male,7.0,4,1,29.125
279,280,1,3,female,35.0,1,1,20.25
280,281,0,3,male,65.0,0,0,7.75
281,282,0,3,male,28.0,0,0,7.8542
282,283,0,3,male,16.0,0,0,9.5
283,284,1,3,male,19.0,0,0,8.05
284,285,0,1,male,,0,0,26.0
285,286,0,3,male,33.0,0,0,8.6625
286,287,1,3,male,30.0,0,0,9.5
287,288,0,3,male,22.0,0,0,7.8958
288,289,1,2,male,42.0,0,0,13.0
289,290,1,3,female,22.0,0,0,7.75
290,291,1,1,female,26.0,0,0,78.85
291,292,1,1,female,19.0,1,0,91.0792
292,293,0,2,male,36.0,0,0,12.875
293,294,0,3,female,24.0,0,0,8.85
294,295,0,3,male,24.0,0,0,7.8958
295,296,0,1,male,,0,0,27.7208
296,297,0,3,male,23.5,0,0,7.2292
297,298,0,1,female,2.0,1,2,151.55
298,299,1,1,male,,0,0,30.5
299,300,1,1,female,50.0,0,1,247.5208
300,301,1,3,female,,0,0,7.75
301,302,1,3,male,,2,0,23.25
302,303,0,3,male,19.0,0,0,0.0
303,304,1,2,female,,0,0,12.35
304,305,0,3,male,,0,0,8.05
305,306,1,1,male,0.92,1,2,151.55
306,307,1,1,female,,0,0,110.8833
307,308,1,1,female,17.0,1,0,108.9
308,309,0,2,male,30.0,1,0,24.0
309,310,1,1,female,30.0,0,0,56.9292
310,311,1,1,female,24.0,0,0,83.1583
311,312,1,1,female,18.0,2,2,262.375
312,313,0,2,female,26.0,1,1,26.0
313,314,0,3,male,28.0,0,0,7.8958
314,315,0,2,male,43.0,1,1,26.25
315,316,1,3,female,26.0,0,0,7.8542
316,317,1,2,female,24.0,1,0,26.0
317,318,0,2,male,54.0,0,0,14.0
318,319,1,1,female,31.0,0,2,164.8667
319,320,1,1,female,40.0,1,1,134.5
320,321,0,3,male,22.0,0,0,7.25
321,322,0,3,male,27.0,0,0,7.8958
322,323,1,2,female,30.0,0,0,12.35
323,324,1,2,female,22.0,1,1,29.0
324,325,0,3,male,,8,2,69.55
325,326,1,1,female,36.0,0,0,135.6333
326,327,0,3,male,61.0,0,0,6.2375
327,328,1,2,female,36.0,0,0,13.0
328,329,1,3,female,31.0,1,1,20.525
329,330,1,1,female,16.0,0,1,57.9792
330,331,1,3,female,,2,0,23.25
331,332,0,1,male,45.5,0,0,28.5
332,333,0,1,male,38.0,0,1,153.4625
333,334,0,3,male,16.0,2,0,18.0
334,335,1,1,female,,1,0,133.65
335,336,0,3,male,,0,0,7.8958
336,337,0,1,male,29.0,1,0,66.6
337,338,1,1,female,41.0,0,0,134.5
338,339,1,3,male,45.0,0,0,8.05
339,340,0,1,male,45.0,0,0,35.5
340,341,1,2,male,2.0,1,1,26.0
341,342,1,1,female,24.0,3,2,263.0
342,343,0,2,male,28.0,0,0,13.0
343,344,0,2,male,25.0,0,0,13.0
344,345,0,2,male,36.0,0,0,13.0
345,346,1,2,female,24.0,0,0,13.0
346,347,1,2,female,40.0,0,0,13.0
347,348,1,3,female,,1,0,16.1
348,349,1,3,male,3.0,1,1,15.9
349,350,0,3,male,42.0,0,0,8.6625
350,351,0,3,male,23.0,0,0,9.225
351,352,0,1,male,,0,0,35.0
352,353,0,3,male,15.0,1,1,7.2292
353,354,0,3,male,25.0,1,0,17.8
354,355,0,3,male,,0,0,7.225
355,356,0,3,male,28.0,0,0,9.5
356,357,1,1,female,22.0,0,1,55.0
357,358,0,2,female,38.0,0,0,13.0
358,359,1,3,female,,0,0,7.8792
359,360,1,3,female,,0,0,7.8792
360,361,0,3,male,40.0,1,4,27.9
361,362,0,2,male,29.0,1,0,27.7208
362,363,0,3,female,45.0,0,1,14.4542
363,364,0,3,male,35.0,0,0,7.05
364,365,0,3,male,,1,0,15.5
365,366,0,3,male,30.0,0,0,7.25
366,367,1,1,female,60.0,1,0,75.25
367,368,1,3,female,,0,0,7.2292
368,369,1,3,female,,0,0,7.75
369,370,1,1,female,24.0,0,0,69.3
370,371,1,1,male,25.0,1,0,55.4417
371,372,0,3,male,18.0,1,0,6.4958
372,373,0,3,male,19.0,0,0,8.05
373,374,0,1,male,22.0,0,0,135.6333
374,375,0,3,female,3.0,3,1,21.075
375,376,1,1,female,,1,0,82.1708
376,377,1,3,female,22.0,0,0,7.25
377,378,0,1,male,27.0,0,2,211.5
378,379,0,3,male,20.0,0,0,4.0125
379,380,0,3,male,19.0,0,0,7.775
380,381,1,1,female,42.0,0,0,227.525
381,382,1,3,female,1.0,0,2,15.7417
382,383,0,3,male,32.0,0,0,7.925
383,384,1,1,female,35.0,1,0,52.0
384,385,0,3,male,,0,0,7.8958
385,386,0,2,male,18.0,0,0,73.5
386,387,0,3,male,1.0,5,2,46.9
387,388,1,2,female,36.0,0,0,13.0
388,389,0,3,male,,0,0,7.7292
389,390,1,2,female,17.0,0,0,12.0
390,391,1,1,male,36.0,1,2,120.0
391,392,1,3,male,21.0,0,0,7.7958
392,393,0,3,male,28.0,2,0,7.925
393,394,1,1,female,23.0,1,0,113.275
394,395,1,3,female,24.0,0,2,16.7
395,396,0,3,male,22.0,0,0,7.7958
396,397,0,3,female,31.0,0,0,7.8542
397,398,0,2,male,46.0,0,0,26.0
398,399,0,2,male,23.0,0,0,10.5
399,400,1,2,female,28.0,0,0,12.65
400,401,1,3,male,39.0,0,0,7.925
401,402,0,3,male,26.0,0,0,8.05
402,403,0,3,female,21.0,1,0,9.825
403,404,0,3,male,28.0,1,0,15.85
404,405,0,3,female,20.0,0,0,8.6625
405,406,0,2,male,34.0,1,0,21.0
406,407,0,3,male,51.0,0,0,7.75
407,408,1,2,male,3.0,1,1,18.75
408,409,0,3,male,21.0,0,0,7.775
409,410,0,3,female,,3,1,25.4667
410,411,0,3,male,,0,0,7.8958
411,412,0,3,male,,0,0,6.8583
412,413,1,1,female,33.0,1,0,90.0
413,414,0,2,male,,0,0,0.0
414,415,1,3,male,44.0,0,0,7.925
415,416,0,3,female,,0,0,8.05
416,417,1,2,female,34.0,1,1,32.5
417,418,1,2,female,18.0,0,2,13.0
418,419,0,2,male,30.0,0,0,13.0
419,420,0,3,female,10.0,0,2,24.15
420,421,0,3,male,,0,0,7.8958
421,422,0,3,male,21.0,0,0,7.7333
422,423,0,3,male,29.0,0,0,7.875
423,424,0,3,female,28.0,1,1,14.4
424,425,0,3,male,18.0,1,1,20.2125
425,426,0,3,male,,0,0,7.25
426,427,1,2,female,28.0,1,0,26.0
427,428,1,2,female,19.0,0,0,26.0
428,429,0,3,male,,0,0,7.75
429,430,1,3,male,32.0,0,0,8.05
430,431,1,1,male,28.0,0,0,26.55
431,432,1,3,female,,1,0,16.1
432,433,1,2,female,42.0,1,0,26.0
433,434,0,3,male,17.0,0,0,7.125
434,435,0,1,male,50.0,1,0,55.9
435,436,1,1,female,14.0,1,2,120.0
436,437,0,3,female,21.0,2,2,34.375
437,438,1,2,female,24.0,2,3,18.75
438,439,0,1,male,64.0,1,4,263.0
439,440,0,2,male,31.0,0,0,10.5
440,441,1,2,female,45.0,1,1,26.25
441,442,0,3,male,20.0,0,0,9.5
442,443,0,3,male,25.0,1,0,7.775
443,444,1,2,female,28.0,0,0,13.0
444,445,1,3,male,,0,0,8.1125
445,446,1,1,male,4.0,0,2,81.8583
